149,-31,-39,-37,
150,-36,-35,-32,
151,-38,-31,-25,
152,-40,-30,-22,
153,-38,-33,-29,
154,-27,-34,-41,
155,-20,-32,-45,
156,-16,-32,-48,
157,-13,-32,-49,
158,-3,-40,-50,
159,-3,-33,-50,
160,-11,-14,-44,
161,-17,-12,-39,
162,-17,-11,-38,
163,-24,-18,-39,
164,-22,-20,-41,
165,-26,-19,-37,
166,-30,-21,-35,
167,-33,-29,-34,
168,-34,-49,-23,
169,-22,-64,-25,
170,-3,-56,-43,
171,0,-44,-47,
172,1,-39,-48,
173,-1,-27,-48,
174,-12,-19,-45,
175,0,-29,-49,
176,4,-53,-44,
177,-1,-61,-38,
178,-4,-62,-37,
179,-9,-61,-36,
180,-11,-62,-37,
181,-15,-59,-37,
182,-23,-57,-33,
183,-25,-54,-33,
184,-31,-47,-33,
185,-30,-30,-37,
186,-22,-31,-44,
187,-22,-28,-43,
188,-29,-24,-39,
189,-23,-23,-42,
190,-16,-22,-45,
191,-16,-19,-44,
192,-6,-23,-48,
193,0,-31,-49,
194,3,-32,-49,
195,4,-49,-45,
196,-2,-59,-39,
197,3,-54,-44,
198,6,-31,-48,
199,-2,-20,-47,
200,-4,-19,-46,
201,-18,-12,-41,
202,-21,-13,-37,
203,-23,-13,-36,
204,-29,-17,-34,
205,-23,-13,-37,
206,-15,-12,-41,
207,2,-30,-49,
208,6,-41,-47,
209,5,-51,-43,
210,-20,-61,-30,
211,-5,-58,-40,
212,-2,-40,-48,
213,-26,-26,-41,
214,-30,-36,-37,
215,-35,-32,-33,
216,-40,-36,-22,
217,-39,-29,-25,
218,-38,-30,-26,
219,-31,-15,-32,
220,-38,-31,-26,
221,-37,-41,-29,
222,-36,-39,-29,
223,-34,-48,-28,
224,-31,-52,-30,
225,-20,-59,-32,
226,-11,-63,-36,
227,-4,-61,-37,
228,2,-63,-36,
229,9,-63,-33,
230,19,-60,-31,
231,26,-50,-29,
232,31,-43,-28,
233,33,-35,-26,
234,33,-24,-20,
235,31,-17,-20,
236,21,-6,-21,
237,7,-1,-27,
