402,-115,175,-148,
403,-80,206,-123,
404,-4,210,-143,
405,77,170,-162,
406,149,102,-176,
407,16,180,-166,
408,-21,254,-48,
409,37,246,57,
410,-16,206,157,
411,45,171,188,
412,75,130,209,
413,80,67,237,
414,97,27,234,
415,68,-53,245,
416,0,-47,250,
417,-12,-55,248,
418,-50,-27,247,
419,-110,-4,232,
420,-83,116,220,
421,-66,134,215,
422,-38,142,220,
423,-61,136,212,
424,-86,121,220,
425,-124,85,209,
426,-146,22,215,
427,-120,-41,224,
428,-34,-92,239,
429,6,-75,239,
430,33,-52,245,
431,82,2,240,
432,91,43,238,
433,78,67,231,
434,73,98,226,
435,99,12,235,
436,36,-80,235,
437,-9,-89,239,
438,-43,-79,232,
439,-107,13,231,
440,-110,99,220,
441,-42,131,222,
442,-22,132,220,
443,-4,130,225,
444,0,137,223,
445,-2,136,225,
446,16,135,223,
447,-16,160,211,
448,-101,141,197,
449,-107,133,198,
450,-116,60,224,
451,-92,12,241,
452,-39,-4,257,
453,-18,-15,248,
454,29,-23,247,
455,37,-39,246,
456,72,-61,235,
457,103,-50,218,
458,131,-26,218,
459,121,4,224,
460,106,101,212,
461,101,102,217,
462,120,67,218,
463,91,-52,225,
464,11,-127,216,
465,-28,-129,210,
466,-39,-118,213,
467,-67,-96,216,
468,-130,-45,222,
469,-136,11,219,
470,-112,91,217,
471,-53,131,227,
472,-41,124,225,
473,-73,118,221,
474,-107,114,206,
475,-138,43,214,
476,-137,-19,215,
477,-113,-50,220,
478,-4,-69,242,
479,3,-53,247,
480,43,-7,252,
481,49,44,246,
482,52,45,248,
483,36,-67,240,
484,-74,-75,228,
485,-142,-70,194,
486,-118,-116,189,
487,-52,-160,192,
488,-40,-168,180,
489,-15,-186,171,
490,58,-211,132,
491,173,-180,80,
492,221,-144,-1,
493,219,-125,-80,
494,210,-1,-156,
495,133,57,-210,
496,16,89,-235,
497,-42,71,-243,
498,-92,80,-227,
499,-75,152,-187,
500,-84,182,-158,
501,-214,108,-93,
502,-252,-26,-50,
503,-249,-77,4,
504,-185,-156,63,
505,-198,-144,67,
506,-212,160,41,
507,-65,246,-1,
508,90,237,-17,
509,-64,246,54,
510,-159,186,109,
